Days,Date,Team1,Location1,Score1,Team2,Location2,Score2
737135,20180317,2,-1,14,7,1,3
737135,20180317,1,-1,8,5,1,6
737135,20180317,7,1,3,2,-1,2
737135,20180317,5,1,15,1,-1,12
737136,20180318,5,1,7,1,-1,5
737136,20180318,7,1,9,2,-1,5
737141,20180323,3,0,3,6,0,2
737141,20180323,6,0,1,3,0,0
737141,20180323,2,1,5,4,-1,3
737142,20180324,3,0,1,6,0,0
737142,20180324,4,-1,6,2,1,1
737142,20180324,2,1,1,4,-1,0
737148,20180330,7,1,8,1,-1,6
737148,20180330,5,1,6,3,-1,5
737149,20180331,3,-1,6,5,1,5
737149,20180331,4,1,10,6,-1,2
737149,20180331,7,1,6,1,-1,1
737149,20180331,4,1,4,6,-1,1
737149,20180331,5,1,9,3,-1,8
737149,20180331,1,-1,5,7,1,3
737150,20180401,4,1,17,6,-1,1
737156,20180407,6,1,10,2,-1,9
737156,20180407,1,1,5,3,-1,1
737156,20180407,5,-1,4,4,1,1
737156,20180407,2,-1,9,6,1,0
737156,20180407,1,1,3,3,-1,0
737156,20180407,4,1,4,5,-1,2
737157,20180408,2,-1,7,6,1,3
737157,20180408,5,-1,5,4,1,2
737157,20180408,1,1,10,3,-1,2
737159,20180410,1,1,10,3,-1,10
737162,20180413,6,1,5,5,-1,4
737162,20180413,2,1,5,1,-1,4
737162,20180413,3,1,3,7,-1,1
737163,20180414,6,1,16,5,-1,4
737163,20180414,2,1,6,1,-1,3
737163,20180414,3,1,8,7,-1,0
737163,20180414,3,1,9,7,-1,2
737163,20180414,2,1,3,1,-1,2
737163,20180414,6,1,4,5,-1,3
737170,20180421,1,1,2,6,-1,0
737170,20180421,7,-1,3,5,1,1
737170,20180421,3,1,1,4,-1,0
737170,20180421,4,-1,9,3,1,4
737170,20180421,6,-1,3,1,1,2
737170,20180421,7,-1,9,5,1,2
737171,20180422,3,1,9,4,-1,8
737171,20180422,5,1,11,7,-1,6
737171,20180422,6,-1,6,1,1,4
737177,20180428,5,-1,3,1,1,1
737177,20180428,2,1,13,3,-1,9
737177,20180428,7,1,9,4,-1,4
737177,20180428,2,1,6,3,-1,3
737177,20180428,7,1,7,4,-1,4
737177,20180428,5,-1,5,1,1,0
737178,20180429,7,1,5,4,-1,2
737178,20180429,3,-1,7,2,1,6
737178,20180429,1,1,8,5,-1,5
737184,20180505,2,1,4,7,-1,2
737184,20180505,3,-1,12,6,1,4
737184,20180505,1,-1,7,4,1,4
737184,20180505,6,1,7,3,-1,1
737184,20180505,2,1,9,7,-1,7
737184,20180505,4,1,4,1,-1,2
737185,20180506,4,1,6,1,-1,1
737185,20180506,3,-1,8,6,1,2
737185,20180506,2,1,5,7,-1,1
737190,20180511,4,-1,6,6,1,5
737190,20180511,4,-1,12,6,1,5
737191,20180512,4,-1,8,6,1,7
737191,20180512,7,-1,2,1,1,0
737191,20180512,5,1,8,2,-1,5
737191,20180512,2,-1,7,5,1,0
737192,20180513,5,1,3,2,-1,2
737192,20180513,7,-1,8,1,1,4
737192,20180513,1,1,3,7,-1,2
737197,20180518,3,1,2,5,-1,0
737197,20180518,2,-1,9,4,1,2
737197,20180518,4,1,3,2,-1,1
737197,20180518,5,-1,3,3,1,0
737198,20180519,3,1,5,5,-1,3
737198,20180519,2,-1,12,4,1,7
737199,20180520,7,1,6,6,-1,1
737199,20180520,6,-1,3,7,1,2
737202,20180523,6,0,8,7,0,5
737202,20180523,4,0,9,7,0,4
737202,20180523,5,0,2,4,0,1
737203,20180524,3,0,4,6,0,0
737203,20180524,4,0,6,6,0,1
737203,20180524,2,0,2,5,0,0
737204,20180525,2,0,4,3,0,3
737204,20180525,5,0,6,3,0,5
737204,20180525,5,0,11,4,0,4
737205,20180526,2,0,9,5,0,4
