,Team Number,Team Name,Date,Win Streak,Numeric Win Streak
0,0, Illinois,20180309,+,1
1,0, Illinois,20180310,-,-1
2,0, Illinois,20180323,+,1
3,0, Illinois,20180324,++,2
4,0, Illinois,20180325,+++,3
5,0, Illinois,20180330,-,-1
6,0, Illinois,20180331,+,1
7,0, Illinois,20180401,-,-1
8,0, Illinois,20180406,+,1
9,0, Illinois,20180407,-,-1
10,0, Illinois,20180408,+,1
11,0, Illinois,20180413,++,2
12,0, Illinois,20180414,+++,3
13,0, Illinois,20180415,++++,4
14,0, Illinois,20180427,+++++,5
15,0, Illinois,20180428,-,-1
16,0, Illinois,20180429,--,-2
17,0, Illinois,20180504,---,-3
18,0, Illinois,20180505,+,1
19,0, Illinois,20180506,-,-1
20,0, Illinois,20180511,+,1
21,0, Illinois,20180512,++,2
22,0, Illinois,20180513,-,-1
23,0, Illinois,20180517,+,1
24,0, Illinois,20180518,++,2
25,0, Illinois,20180519,-,-1
26,0, Illinois,20180523,+,1
27,0, Illinois,20180524,-,-1
28,0, Illinois,20180525,+,1
29,0, Illinois,20180526,-,-1
30,1, Indiana,20180223,+,1
31,1, Indiana,20180323,++,2
32,1, Indiana,20180323,-,-1
33,1, Indiana,20180406,--,-2
34,1, Indiana,20180407,+,1
35,1, Indiana,20180408,++,2
36,1, Indiana,20180413,+++,3
37,1, Indiana,20180413,++++,4
38,1, Indiana,20180415,+++++,5
39,1, Indiana,20180420,++++++,6
40,1, Indiana,20180421,-,-1
41,1, Indiana,20180422,--,-2
42,1, Indiana,20180425,---,-3
43,1, Indiana,20180427,----,-4
44,1, Indiana,20180428,+,1
45,1, Indiana,20180429,++,2
46,1, Indiana,20180504,-,-1
47,1, Indiana,20180505,--,-2
48,1, Indiana,20180506,---,-3
49,1, Indiana,20180511,----,-4
50,1, Indiana,20180512,+,1
51,1, Indiana,20180513,++,2
52,1, Indiana,20180517,+++,3
53,1, Indiana,20180518,++++,4
54,1, Indiana,20180519,+++++,5
55,1, Indiana,20180523,-,-1
56,1, Indiana,20180524,+,1
57,1, Indiana,20180525,-,-1
58,2, Iowa,20180323,-,-1
59,2, Iowa,20180323,+,1
60,2, Iowa,20180330,++,2
61,2, Iowa,20180331,-,-1
62,2, Iowa,20180401,+,1
63,2, Iowa,20180407,++,2
64,2, Iowa,20180407,-,-1
65,2, Iowa,20180408,+,1
66,2, Iowa,20180413,-,-1
67,2, Iowa,20180413,+,1
68,2, Iowa,20180420,-,-1
69,2, Iowa,20180421,--,-2
70,2, Iowa,20180422,+,1
71,2, Iowa,20180427,++,2
72,2, Iowa,20180428,-,-1
73,2, Iowa,20180429,+,1
74,2, Iowa,20180511,-,-1
75,2, Iowa,20180512,--,-2
76,2, Iowa,20180513,+,1
77,2, Iowa,20180517,++,2
78,2, Iowa,20180518,+++,3
79,2, Iowa,20180519,++++,4
80,2, Iowa,20180523,-,-1
81,2, Iowa,20180524,--,-2
82,3, Maryland,20180330,-,-1
83,3, Maryland,20180331,+,1
84,3, Maryland,20180401,++,2
85,3, Maryland,20180406,-,-1
86,3, Maryland,20180406,+,1
87,3, Maryland,20180408,-,-1
88,3, Maryland,20180413,--,-2
89,3, Maryland,20180415,---,-3
90,3, Maryland,20180420,----,-4
91,3, Maryland,20180421,-----,-5
92,3, Maryland,20180422,------,-6
93,3, Maryland,20180427,-------,-7
94,3, Maryland,20180428,+,1
95,3, Maryland,20180429,++,2
96,3, Maryland,20180504,+++,3
97,3, Maryland,20180505,-,-1
98,3, Maryland,20180506,--,-2
99,3, Maryland,20180511,+,1
100,3, Maryland,20180512,++,2
101,3, Maryland,20180513,+++,3
102,3, Maryland,20180517,-,-1
103,3, Maryland,20180518,--,-2
104,3, Maryland,20180519,---,-3
105,4, Michigan,20180323,+,1
106,4, Michigan,20180324,++,2
107,4, Michigan,20180325,+++,3
108,4, Michigan,20180407,++++,4
109,4, Michigan,20180407,+++++,5
110,4, Michigan,20180408,++++++,6
111,4, Michigan,20180413,+++++++,7
112,4, Michigan,20180415,++++++++,8
113,4, Michigan,20180420,+++++++++,9
114,4, Michigan,20180421,++++++++++,10
115,4, Michigan,20180422,+++++++++++,11
116,4, Michigan,20180427,-,-1
117,4, Michigan,20180428,+,1
118,4, Michigan,20180429,-,-1
119,4, Michigan,20180504,--,-2
120,4, Michigan,20180505,+,1
121,4, Michigan,20180506,++,2
122,4, Michigan,20180509,+++,3
123,4, Michigan,20180511,-,-1
124,4, Michigan,20180512,--,-2
125,4, Michigan,20180513,+,1
126,4, Michigan,20180517,-,-1
127,4, Michigan,20180518,--,-2
128,4, Michigan,20180519,---,-3
129,4, Michigan,20180523,+,1
130,4, Michigan,20180524,-,-1
131,4, Michigan,20180525,--,-2
132,5, Michigan_St,20180309,-,-1
133,5, Michigan_St,20180310,+,1
134,5, Michigan_St,20180323,-,-1
135,5, Michigan_St,20180324,--,-2
136,5, Michigan_St,20180325,---,-3
137,5, Michigan_St,20180330,----,-4
138,5, Michigan_St,20180330,-----,-5
139,5, Michigan_St,20180401,+,1
140,5, Michigan_St,20180407,++,2
141,5, Michigan_St,20180408,+++,3
142,5, Michigan_St,20180420,++++,4
143,5, Michigan_St,20180421,+++++,5
144,5, Michigan_St,20180422,++++++,6
145,5, Michigan_St,20180427,+++++++,7
146,5, Michigan_St,20180428,-,-1
147,5, Michigan_St,20180429,--,-2
148,5, Michigan_St,20180504,---,-3
149,5, Michigan_St,20180505,----,-4
150,5, Michigan_St,20180505,+,1
151,5, Michigan_St,20180509,-,-1
152,5, Michigan_St,20180511,+,1
153,5, Michigan_St,20180512,-,-1
154,5, Michigan_St,20180513,--,-2
155,5, Michigan_St,20180517,---,-3
156,5, Michigan_St,20180518,+,1
157,5, Michigan_St,20180519,++,2
158,5, Michigan_St,20180523,-,-1
159,5, Michigan_St,20180524,--,-2
160,6, Minnesota,20180323,+,1
161,6, Minnesota,20180324,-,-1
162,6, Minnesota,20180325,+,1
163,6, Minnesota,20180406,++,2
164,6, Minnesota,20180407,+++,3
165,6, Minnesota,20180408,++++,4
166,6, Minnesota,20180413,+++++,5
167,6, Minnesota,20180414,++++++,6
168,6, Minnesota,20180420,+++++++,7
169,6, Minnesota,20180421,++++++++,8
170,6, Minnesota,20180422,-,-1
171,6, Minnesota,20180427,+,1
172,6, Minnesota,20180428,++,2
173,6, Minnesota,20180429,-,-1
174,6, Minnesota,20180504,+,1
175,6, Minnesota,20180505,++,2
176,6, Minnesota,20180506,+++,3
177,6, Minnesota,20180511,-,-1
178,6, Minnesota,20180512,+,1
179,6, Minnesota,20180513,++,2
180,6, Minnesota,20180517,+++,3
181,6, Minnesota,20180518,++++,4
182,6, Minnesota,20180523,+++++,5
183,6, Minnesota,20180524,++++++,6
184,6, Minnesota,20180526,+++++++,7
185,6, Minnesota,20180527,++++++++,8
186,7, Nebraska,20180323,-,-1
187,7, Nebraska,20180324,+,1
188,7, Nebraska,20180325,-,-1
189,7, Nebraska,20180330,+,1
190,7, Nebraska,20180331,-,-1
191,7, Nebraska,20180401,--,-2
192,7, Nebraska,20180407,---,-3
193,7, Nebraska,20180408,----,-4
194,7, Nebraska,20180413,+,1
195,7, Nebraska,20180413,-,-1
196,7, Nebraska,20180420,--,-2
197,7, Nebraska,20180421,+,1
198,7, Nebraska,20180422,-,-1
199,7, Nebraska,20180504,--,-2
200,7, Nebraska,20180505,+,1
201,7, Nebraska,20180506,++,2
202,7, Nebraska,20180511,+++,3
203,7, Nebraska,20180512,-,-1
204,7, Nebraska,20180513,--,-2
205,7, Nebraska,20180517,---,-3
206,7, Nebraska,20180518,----,-4
207,7, Nebraska,20180519,+,1
208,8, Northwestern,20180323,-,-1
209,8, Northwestern,20180324,--,-2
210,8, Northwestern,20180325,---,-3
211,8, Northwestern,20180330,+,1
212,8, Northwestern,20180331,-,-1
213,8, Northwestern,20180401,--,-2
214,8, Northwestern,20180407,---,-3
215,8, Northwestern,20180407,----,-4
216,8, Northwestern,20180408,-----,-5
217,8, Northwestern,20180413,------,-6
218,8, Northwestern,20180413,-------,-7
219,8, Northwestern,20180415,--------,-8
220,8, Northwestern,20180420,---------,-9
221,8, Northwestern,20180421,----------,-10
222,8, Northwestern,20180422,-----------,-11
223,8, Northwestern,20180427,+,1
224,8, Northwestern,20180428,++,2
225,8, Northwestern,20180429,+++,3
226,8, Northwestern,20180504,-,-1
227,8, Northwestern,20180505,--,-2
228,8, Northwestern,20180506,---,-3
229,8, Northwestern,20180511,+,1
230,8, Northwestern,20180512,++,2
231,8, Northwestern,20180513,-,-1
232,9, Ohio_St,20180330,-,-1
233,9, Ohio_St,20180331,+,1
234,9, Ohio_St,20180401,++,2
235,9, Ohio_St,20180407,-,-1
236,9, Ohio_St,20180407,+,1
237,9, Ohio_St,20180408,-,-1
238,9, Ohio_St,20180413,+,1
239,9, Ohio_St,20180414,++,2
240,9, Ohio_St,20180414,+++,3
241,9, Ohio_St,20180420,-,-1
242,9, Ohio_St,20180421,+,1
243,9, Ohio_St,20180422,++,2
244,9, Ohio_St,20180427,-,-1
245,9, Ohio_St,20180428,--,-2
246,9, Ohio_St,20180429,+,1
247,9, Ohio_St,20180504,++,2
248,9, Ohio_St,20180505,-,-1
249,9, Ohio_St,20180506,+,1
250,9, Ohio_St,20180511,++,2
251,9, Ohio_St,20180512,-,-1
252,9, Ohio_St,20180513,+,1
253,9, Ohio_St,20180517,++,2
254,9, Ohio_St,20180518,-,-1
255,9, Ohio_St,20180519,--,-2
256,9, Ohio_St,20180523,---,-3
257,9, Ohio_St,20180524,+,1
258,9, Ohio_St,20180525,++,2
259,9, Ohio_St,20180526,-,-1
260,10, Penn_St,20180323,-,-1
261,10, Penn_St,20180324,--,-2
262,10, Penn_St,20180325,+,1
263,10, Penn_St,20180330,-,-1
264,10, Penn_St,20180331,--,-2
265,10, Penn_St,20180331,---,-3
266,10, Penn_St,20180406,----,-4
267,10, Penn_St,20180407,-----,-5
268,10, Penn_St,20180408,------,-6
269,10, Penn_St,20180413,-------,-7
270,10, Penn_St,20180414,--------,-8
271,10, Penn_St,20180414,---------,-9
272,10, Penn_St,20180420,----------,-10
273,10, Penn_St,20180421,-----------,-11
274,10, Penn_St,20180422,------------,-12
275,10, Penn_St,20180427,-------------,-13
276,10, Penn_St,20180428,--------------,-14
277,10, Penn_St,20180429,---------------,-15
278,10, Penn_St,20180504,+,1
279,10, Penn_St,20180505,++,2
280,10, Penn_St,20180505,-,-1
281,10, Penn_St,20180517,--,-2
282,10, Penn_St,20180518,---,-3
283,10, Penn_St,20180519,----,-4
284,11, Purdue,20180330,+,1
285,11, Purdue,20180331,++,2
286,11, Purdue,20180331,+++,3
287,11, Purdue,20180406,++++,4
288,11, Purdue,20180407,-,-1
289,11, Purdue,20180408,--,-2
290,11, Purdue,20180413,---,-3
291,11, Purdue,20180414,----,-4
292,11, Purdue,20180420,+,1
293,11, Purdue,20180421,++,2
294,11, Purdue,20180422,+++,3
295,11, Purdue,20180425,++++,4
296,11, Purdue,20180427,+++++,5
297,11, Purdue,20180428,++++++,6
298,11, Purdue,20180429,+++++++,7
299,11, Purdue,20180504,++++++++,8
300,11, Purdue,20180505,+++++++++,9
301,11, Purdue,20180506,++++++++++,10
302,11, Purdue,20180511,-,-1
303,11, Purdue,20180512,+,1
304,11, Purdue,20180513,-,-1
305,11, Purdue,20180517,+,1
306,11, Purdue,20180518,++,2
307,11, Purdue,20180519,+++,3
308,11, Purdue,20180523,++++,4
309,11, Purdue,20180524,+++++,5
310,11, Purdue,20180526,++++++,6
311,11, Purdue,20180527,-,-1
312,12, Rutgers,20180223,-,-1
313,12, Rutgers,20180323,+,1
314,12, Rutgers,20180324,++,2
315,12, Rutgers,20180325,-,-1
316,12, Rutgers,20180330,+,1
317,12, Rutgers,20180330,++,2
318,12, Rutgers,20180401,-,-1
319,12, Rutgers,20180413,--,-2
320,12, Rutgers,20180414,---,-3
321,12, Rutgers,20180415,----,-4
322,12, Rutgers,20180420,+,1
323,12, Rutgers,20180421,-,-1
324,12, Rutgers,20180422,+,1
325,12, Rutgers,20180427,-,-1
326,12, Rutgers,20180428,--,-2
327,12, Rutgers,20180429,---,-3
328,12, Rutgers,20180504,+,1
329,12, Rutgers,20180505,-,-1
330,12, Rutgers,20180506,--,-2
331,12, Rutgers,20180511,---,-3
332,12, Rutgers,20180512,----,-4
333,12, Rutgers,20180513,-----,-5
334,12, Rutgers,20180517,------,-6
335,12, Rutgers,20180518,-------,-7
